agent,trial,f1_frac_kyber768,f1_frac_mlkem768,f2_frac_firefox_ja4,f2_frac_h2,f2_frac_pq,f3_mean_ak_window,f3_frac_win_firefox,f3_mean_init_window,f4_frac_s3_w110,f4_frac_s3_w220,f5_frac_s5_w110,f5_frac_s5_w220,f5_frac_s5_w256,f6_stream3_coverage,f6_stream5_coverage,f7_ja3_diversity,f7_ip_diversity,f8_mean_cipher_count,f8_mean_curve_count,f8_mean_sig_count,f9_h2_pseudo_order,f9_ak_pseudo_order,f10_frac_ext16,f10_frac_ext17,f10_frac_firefox_ext,f11_grease_cipher,f11_grease_curve,f11_grease_ver,f12_log_n_requests
autogen_websurfer,trial-023,0.1,0.9,0.0,0.9,0.9,14847545.888888888,0.0,6524472.888888889,0.0,1.0,0.0,0.0,1.0,0.7,0.6,0.3,0.3,14.9,4.3,8.6,0.0,0.0,0.8,0.0,0.0,1.0,1.0,1.0,2.3978952727983707
autogen_websurfer,trial-024,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
autogen_websurfer,trial-025,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,14.777777777777779,3.888888888888889,7.888888888888889,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046
autogen_websurfer,trial-026,0.0,0.875,0.0,0.875,0.875,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.75,0.625,0.25,0.25,14.75,3.875,7.875,0.0,0.0,0.875,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
autogen_websurfer,trial-027,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
autogen_websurfer,trial-028,0.0,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.7777777777777778,0.6666666666666666,0.2222222222222222,0.2222222222222222,18.11111111111111,4.666666666666667,9.333333333333334,0.0,0.0,0.8888888888888888,0.0,0.0,1.0,1.0,1.0,2.302585092994046
autogen_websurfer,trial-029,0.0,0.8181818181818182,0.0,0.9090909090909091,0.8181818181818182,13565953.0,0.0,5452595.2,0.0,1.0,0.0,0.0,1.0,0.6363636363636364,0.5454545454545454,0.2727272727272727,0.2727272727272727,13.909090909090908,3.909090909090909,8.545454545454545,0.0,0.0,0.7272727272727273,0.0,0.0,1.0,1.0,1.0,2.4849066497880004
autogen_websurfer,trial-030,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,0.0,1.0,0.875,0.75,0.125,0.125,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.1972245773362196
browser_use,trial-001,0.8181818181818182,0.0,0.0,0.8181818181818182,0.8181818181818182,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.7272727272727273,0.6363636363636364,0.18181818181818182,0.18181818181818182,15.545454545454545,5.090909090909091,10.181818181818182,0.0,0.0,0.8181818181818182,0.0,0.0,1.0,1.0,1.0,2.4849066497880004
browser_use,trial-002,0.8125,0.375,0.0,0.9375,0.9375,154782925.66666666,0.125,6571076.266666667,0.0,1.0,0.0,1.0,0.0,0.5,0.4375,0.25,0.4375,15.4375,5.125,9.0,0.0,0.0,0.5625,0.0,0.0,1.0,1.0,1.0,2.833213344056216
