agent,trial,req_rate_hz,iri_median_ms,iri_std_ms,page_dwell_mean_s,page_dwell_std_s,iri_page_to_subres_ms,subresource_burst_ms,req_rate_hz_median,req_rate_hz_cv
claude_computer_use,trial-017,0.1051812493807454,12593.346,5690.774214247666,12.676530666666666,3.402258038847534,31.525,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-018,0.09827527385756345,12448.548,6645.884690234,13.567332666666667,2.597447616820148,42.07,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-019,0.10516332192530381,13667.424,5306.712539958313,12.678691666666666,2.578968448613489,53.365,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-020,0.09936376882005674,13114.868,5304.754197488096,13.418707333333332,2.2378434878284645,341.13100000000003,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-021,0.10309694399236753,12356.322,6192.658325186245,14.549412833333335,2.8661643987264522,10244.910333333333,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-022,0.09796146477614917,12974.147,5472.421577307092,13.610794166666667,2.121299975384568,40.739,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-023,0.11418374363529822,9441.222,5158.511604787739,14.596356833333333,2.847231149474058,16940.555750000003,7572.931,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-024,0.09461554074922214,13774.688,5761.864989351492,14.092117666666667,2.5100914064115405,45.028,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-025,0.12189518934784269,13387.382000000001,6643.667383704068,11.719670285714285,4.980397124450008,27714.13871428572,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-026,0.10610361017533622,13356.777,5247.403813795428,12.566333333333334,2.4915203094484033,29.947000000000003,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-027,0.09800593210305833,14514.213,5700.845835408891,13.604618666666667,2.773600203720476,54.297,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-028,0.10108892356660171,13188.496000000001,5469.920838483998,13.189707499999999,2.5143196001409804,28.015,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-029,0.09781152340542948,14244.733,7172.440090477315,13.631659,2.709480590716826,28.595,,0.09823732479838346,0.0855151565918412
claude_computer_use,trial-030,0.09320964041212083,14339.061,5646.55836558134,14.304671999999998,1.8668171735403547,31.306,,0.09823732479838346,0.0855151565918412
gemini_computer_use,trial-001,0.10061376183407887,12435.576000000001,8566.780942091515,14.908497333333335,6.349102967672352,18035.5045,,0.0909340442223229,0.2594338413197614
