agent_label,n_requests,n_nav,n_sub,nav_order_stability,n_unique_nav_hashes,n_headers_mean,n_headers_std,sf_site_none_rate,sf_violation_rate,sf_site_mode,headless_rate,ch_incoherence_rate,ch_mobile_matches_rate,ch_platform_matches_rate,ch_brand_count_mode,accept_lang_rate,has_priority_rate,has_sec_ch_ua_rate,has_upgrade_ins_rate,has_connection_rate,has_cache_control_rate,ua_family_mode,ua_os_mode,ua_version_mode,ua_version_n_distinct,ua_family_n_distinct,priority_correct_rate,has_nonstandard_rate,n_nonstandard_distinct,ns_hdr_X-Requested-With,ns_hdr_Pragma,ns_hdr_Cf-Ew-Via,ns_hdr_Keep-Alive,ns_hdr_Accept-Charset,ns_hdr_X-Envoy-Expected-Rq-Timeout-Ms,ns_hdr_X-Forwarded-Proto,ns_hdr_Signature,ns_hdr_From,ns_hdr_Cf-Ray,ns_hdr_Cf-Visitor,ns_hdr_Amp-Cache-Transform,ns_hdr_Cf-Worker,ns_hdr_Sec-Gpc,ns_hdr_X-Request-Id,ns_hdr_Signature-Input,ns_hdr_Cdn-Loop,ns_hdr_Signature-Agent
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,2,0,147.0,1,1,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,6,1,0.1666666666666666,6,11.857142857142858,0.3779644730092272,0.8571428571428571,0.0,0,1.0,1.0,1.0,1.0,3,0.0,1.0,1.0,0.8571428571428571,0.0,0.0,1,3,122.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,7,2,0.1428571428571428,7,10.363636363636363,3.640679257301507,0.6363636363636364,0.8181818181818182,0,0.0,0.0,1.0,1.0,2,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.0,0.0,2,0,128.0,1,2,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18,10,1,0.1,10,10.333333333333334,4.850712500726659,0.0555555555555555,0.3888888888888889,1,0.0,0.0555555555555555,0.9444444444444444,1.0,3,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.5555555555555556,0.1666666666666666,0.0555555555555555,0,3,145.0,4,3,1.0,0.1111111111111111,9,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0
3,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,0,0.2,5,12.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,1.0,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,7,2,0.1428571428571428,7,6.612903225806452,3.2008063500190977,0.2258064516129032,0.7419354838709677,2,0.2580645161290322,0.2580645161290322,1.0,1.0,0,0.6774193548387096,0.2580645161290322,0.2580645161290322,0.2258064516129032,0.6774193548387096,0.0,0,3,78.0,4,3,1.0,0.6451612903225806,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,99,19,4,0.0526315789473684,19,3.080808080808081,5.175840201293097,0.1919191919191919,0.8686868686868687,2,0.0,0.0,1.0,1.0,0,0.2323232323232323,0.101010101010101,0.2121212121212121,0.1919191919191919,0.0707070707070707,0.1212121212121212,3,2,114.0,5,5,0.9,0.0202020202020202,8,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,2,0,147.0,1,1,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,7,3,0.1428571428571428,7,9.75,4.070403151799809,0.5833333333333334,0.8333333333333334,0,0.0,0.0,1.0,1.0,2,0.75,0.75,0.75,0.5833333333333334,0.25,0.0,2,0,147.0,3,2,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,7,2,0.1428571428571428,7,12.0,0.0,0.5833333333333334,0.8333333333333334,0,0.0,0.0,1.0,1.0,2,1.0,0.75,0.75,0.5833333333333334,0.0,0.25,2,0,128.0,1,2,0.8888888888888888,0.25,7,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
5,12,10,1,0.1,10,13.0,2.593698657761292,0.0833333333333333,0.0833333333333333,1,0.0,0.0,1.0,1.0,3,1.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.0833333333333333,0.0,0,3,145.0,2,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,7,3,0.1428571428571428,7,9.166666666666666,4.302923600896432,0.5,0.3333333333333333,0,0.6666666666666666,0.6666666666666666,1.0,1.0,3,0.25,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.0,0.0,1,3,122.0,2,3,1.0,0.25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,7,1,0.1428571428571428,7,11.22222222222222,1.986062547968831,0.7777777777777778,0.1111111111111111,0,0.8888888888888888,0.0,1.0,1.0,3,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.1111111111111111,0.0,2,0,147.0,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,7,1,0.1428571428571428,7,10.0,3.972125095937662,0.7,0.2,0,0.8,0.0,1.0,1.0,3,0.0,0.8,0.8,0.7,0.0,0.0,2,0,147.0,1,2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,2,0.1428571428571428,7,12.0,0.0,0.7,0.8,0,0.0,0.0,1.0,1.0,2,1.0,0.9,0.9,0.7,0.0,0.1,2,0,128.0,1,2,0.8888888888888888,0.1,7,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0
3,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,2,0,147.0,1,1,0.8888888888888888,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,7,3,0.1428571428571428,7,12.0,0.4714045207910317,0.7,0.0,0,0.7,1.0,1.0,0.7,3,0.3,1.0,1.0,0.7,0.0,0.0,1,3,122.0,2,2,0.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,7,2,0.1428571428571428,7,13.272727272727272,5.587323314269707,0.6363636363636364,0.1818181818181818,0,0.0,0.0,1.0,1.0,2,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.0,0.0,0,1,144.0,1,2,0.8888888888888888,0.8181818181818182,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
3,8,7,1,0.1428571428571428,7,11.875,0.3535533905932738,0.875,0.0,0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.875,0.0,0.0,2,0,147.0,1,1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
