agent_label,n_requests,n_nav,n_sub,nav_order_stability,n_unique_nav_hashes,n_headers_mean,n_headers_std,sf_site_none_rate,sf_violation_rate,sf_site_mode,headless_rate,ch_incoherence_rate,ch_mobile_matches_rate,ch_platform_matches_rate,ch_brand_count_mode,accept_lang_rate,has_priority_rate,has_sec_ch_ua_rate,has_upgrade_ins_rate,has_te_rate,has_connection_rate,has_cache_control_rate,ua_family_mode,ua_os_mode,ua_version_mode,ua_version_n_distinct,ua_family_n_distinct,priority_correct_rate,priority_urgency_mode,has_nonstandard_rate,n_nonstandard_distinct,ns_hdr_Next-Action,ns_hdr_Accept-Charset,ns_hdr_Signature,ns_hdr_Signature-Agent,ns_hdr_From,ns_hdr_X-Forwarded-Proto,ns_hdr_Cf-Ew-Via,ns_hdr_Pragma,ns_hdr_X-Request-Id,ns_hdr_Cdn-Loop,ns_hdr_Cf-Ray,ns_hdr_Cf-Worker,ns_hdr_Keep-Alive,ns_hdr_Amp-Cache-Transform,ns_hdr_X-Requested-With,ns_hdr_Sec-Gpc,ns_hdr_Signature-Input,ns_hdr_Cf-Visitor,ns_hdr_X-Envoy-Expected-Rq-Timeout-Ms,ns_hdr_Sec-Purpose
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,3,0,128.0,1,1,0.8888888888888888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,3,0,128.0,1,1,0.8888888888888888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,3,0,128.0,1,1,0.8888888888888888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,2,0.1428571428571428,7,12.0,0.0,0.7,0.8,0,0.0,0.0,1.0,1.0,2,1.0,0.9,0.9,0.7,0.0,0.0,0.1,3,0,128.0,1,2,0.8888888888888888,0.0,0.1,7,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
1,17,7,2,0.1428571428571428,7,11.294117647058824,1.992633492465214,0.4117647058823529,0.8823529411764706,2,0.0,0.1176470588235294,0.8823529411764706,1.0,2,0.9411764705882352,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.0,0.1176470588235294,0.4117647058823529,3,0,128.0,4,4,0.8888888888888888,0.0,0.4117647058823529,7,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,3,0,128.0,1,1,0.8888888888888888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,7,2,0.1428571428571428,7,12.0,0.0,0.5833333333333334,0.8333333333333334,0,0.0,0.0,1.0,1.0,2,1.0,0.75,0.75,0.5833333333333334,0.0,0.0,0.25,3,0,128.0,1,2,0.8888888888888888,0.0,0.25,7,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,3,0,128.0,1,1,0.8888888888888888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,85,7,4,0.1428571428571428,7,1.5294117647058822,3.7339760351148974,0.0823529411764705,0.976470588235294,2,0.0,0.0,1.0,1.0,0,0.1176470588235294,0.1058823529411764,0.1058823529411764,0.0823529411764705,0.0,0.0588235294117647,0.0,4,2,147.0,3,6,0.8888888888888888,0.0,0.0117647058823529,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,7,2,0.1428571428571428,7,12.0,0.0,0.7777777777777778,0.7777777777777778,0,0.0,0.0,1.0,1.0,2,1.0,1.0,1.0,0.7777777777777778,0.0,0.0,0.0,3,0,147.0,1,1,0.8888888888888888,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
